"test_id","backend","provider","model_id","mode","endpoint","reasoning_mode","env_var","package_version","test_date","started_at_utc","duration_seconds","status","status_code","parsed_winner","error"
"openai_chat_live","openai","OpenAI","gpt-4.1","live","chat.completions","none","OPENAI_API_KEY","1.3.1","2026-09-02","2026-09-03 01:30:13 UTC",2.74753761291504,"passed",200,TRUE,
"openai_responses_live","openai","OpenAI","gpt-5.6-luna","live","responses","none","OPENAI_API_KEY","1.3.1","2026-09-02","2026-09-03 01:30:16 UTC",1.82954478263855,"passed",200,TRUE,
"anthropic_standard_live","anthropic","Anthropic","claude-haiku-4-5-20251001","live","messages","none","ANTHROPIC_API_KEY","1.3.1","2026-09-02","2026-09-03 01:30:18 UTC",0.617390632629395,"passed",200,TRUE,
"anthropic_thinking_live","anthropic","Anthropic","claude-haiku-4-5-20251001","live","messages","enabled","ANTHROPIC_API_KEY","1.3.1","2026-09-02","2026-09-03 01:30:18 UTC",2.29031586647034,"passed",200,TRUE,
"gemini_thinking_live","gemini","Google","gemini-3.5-flash-lite","live","generateContent","thinking_level=low","GEMINI_API_KEY","1.3.1","2026-09-02","2026-09-03 01:30:21 UTC",0.535203456878662,"passed",200,TRUE,
"vertex_standard_live","vertex","Google","gemini-2.5-flash","live","generateContent","thinking_budget=0","VERTEX_API_KEY","1.3.1","2026-09-02","2026-09-03 01:30:56 UTC",1.30832457542419,"passed",200,TRUE,
"together_standard_live","together","Together AI","deepseek-ai/DeepSeek-V4-Flash-0731","live","chat.completions","none","TOGETHER_API_KEY","1.3.1","2026-09-02","2026-09-03 01:30:23 UTC",0.867317676544189,"passed",200,TRUE,
