"test_id","backend","provider","model_id","mode","endpoint","reasoning_mode","env_var","package_version","test_date","started_at_utc","duration_seconds","status","status_code","parsed_winner","error"
"openai_responses_batch","openai","OpenAI","gpt-5.6-luna","batch","responses","none","OPENAI_API_KEY","1.3.1","2026-09-02","2026-09-03 01:35:54 UTC",52.4535603523254,"passed",200,TRUE,
"anthropic_standard_batch","anthropic","Anthropic","claude-haiku-4-5-20251001","batch","messages","none","ANTHROPIC_API_KEY","1.3.1","2026-09-02","2026-09-03 01:31:13 UTC",105.210941314697,"passed",200,TRUE,
"gemini_thinking_batch","gemini","Google","gemini-3.5-flash-lite","batch","batchGenerateContent","thinking_level=low","GEMINI_API_KEY","1.3.1","2026-09-02","2026-09-03 01:32:59 UTC",94.0538749694824,"passed",200,TRUE,
