"test_id","backend","provider","model_id","mode","endpoint","reasoning_mode","env_var","package_version","test_date","started_at_utc","duration_seconds","status","status_code","parsed_winner","error"
"openai_responses_batch","openai","OpenAI","gpt-5.6-luna","batch","responses","none","OPENAI_API_KEY","1.3.1","2026-09-03","2026-09-03 17:37:26 UTC",166.701219558716,"passed",200,TRUE,
"anthropic_standard_batch","anthropic","Anthropic","claude-haiku-4-5-20251001","batch","messages","none","ANTHROPIC_API_KEY","1.3.1","2026-09-03","2026-09-03 17:40:12 UTC",124.532311439514,"passed",200,TRUE,
"gemini_thinking_batch","gemini","Google","gemini-3.5-flash-lite","batch","batchGenerateContent","thinking_level=low","GEMINI_API_KEY","1.3.1","2026-09-03","2026-09-03 17:42:17 UTC",185.543218374252,"passed",200,TRUE,
